item	context	expected	exp_cloze	target	tgt_cloze	tgt_cloze(strict)
61-b	The librarian documented which journalist the celebrities had 	avoided|hated|read|met	0.066666667	interviewed	0.066666667	0
61-a	The librarian documented which celebrities the journalist had 	interviewed	0.533333333	interviewed	0.533333333	0.533333333
62-b	the old widower remembered which ghost the villager had 	seen	0.6	haunted	0	0
62-a	the old widower remembered which villager the ghost had 	haunted	0.5	haunted	0.5	0.5
63-b	the firefighter reported which paramedic the victim had 	thanked	0.2	saved	0.166666667	0
63-a	the firefighter reported which victim the paramedic had 	saved	0.433333333	saved	0.433333333	0.433333333
64-b	the historian documented which assassin the prince had 	hired	0.2	killed	0.133333333	0
64-a	the historian documented which prince the assassin had 	killed	0.466666667	killed	0.466666667	0.466666667
66-b	the judo master recognized which assailant the defender had 	defeated|beaten	0.1	attacked	0.166666667	0
66-a	the judo master recognized which defender the assailant had 	attacked	0.4	attacked	0.4	0.4
67-b	the naturalist observed which deer the predators had 	eaten|killed	0.233333333	avoided	0	0
67-a	the naturalist observed which predators the deer had 	avoided	0.4	avoided	0.4	0.4
68-b	the restaurant owner forgot which waitress the customer had 	tipped	0.266666667	served	0.033333333	0
68-a	the restaurant owner forgot which customer the waitress had 	served	0.366666667	served	0.366666667	0.366666667
71-b	the nanny knew which billionaire the housekeeper had 	worked for	0.333333333	hired	0	0
71-a	the nanny knew which housekeeper the billionaire had 	hired	0.333333333	hired	0.333333333	0.333333333
72-b	the researcher learned which biologist the whale had 	eaten	0.166666667	studied	0.066666667	0
72-a	the researcher learned which whale the biologist had 	studied	0.433333333	studied	0.433333333	0.433333333
73-b	Tracy announced which administrator the applicant had 	interviewed with|seen	0.1	chosen	0	0
73-a	Tracy announced which applicant the administrator had 	chosen	0.333333333	chosen	0.333333333	0.333333333
74-b	the birthday boy saw which clown the friend had 	hired	0.233333333	scared	0.2	0
74-a	the birthday boy saw which friend the clown had 	scared	0.3	scared	0.3	0.3
75-b	the columnist publicized which celebrity the photographer had 	photographed	0.366666667	punched	0.033333333	0
75-a	the columnist publicized which photographer the celebrity had 	punched	0.3	punched	0.3	0.3
77-b	the police officer noted which burglar the jeweler had 	identified	0.3	robbed	0.066666667	0
77-a	the police officer noted which jeweler the burglar had 	robbed	0.3	robbed	0.3	0.3
78-b	the royal cook asked which chef the lord had 	requested|chosen|hired	0.166666667	served	0	0
78-a	the royal cook asked which lord the chef had 	served	0.3	served	0.3	0.3
80-b	the wildlife curator mentioned which zookeeper the ape had 	attacked	0.266666667	fed	0	0
80-a	the wildlife curator mentioned which ape the zookeeper had 	fed	0.333333333	fed	0.333333333	0.333333333
81-b	the aid worker realized which philanthropist the refugees had 	thanked	0.133333333	helped	0.066666667	0
81-a	the aid worker realized which refugees the philanthropist had 	helped	0.266666667	helped	0.266666667	0.266666667
82-b	the camper reported which bear the girl had 	seen	0.266666667	eaten	0	0
